order_id,payment_sequential,payment_type,payment_installments,payment_value
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
cf30fe76d1505192acee1c6dccb15545,1,credit_card,2,47.72
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
886b114d034f4ac1d39d964c1b2a8182,1,credit_card,10,2027.16
7327c30a5230ce07bc2c7a695d553a00,1,credit_card,4,40.27
6644170ea0130942cfb3064dce01004a,1,credit_card,2,333.68
f86d7bc39aab05299691322044b63bb2,1,voucher,1,1302.42
1966886b80f14d0588adf6406afb0026,1,debit_card,1,68.89
37c755c6df4b61c5b4cc40361ae57588,1,credit_card,3,72.34
e199c3b74cd391568e7c99aa28b0f274,1,boleto,1,168.51
87b8f9f472fb04cdbf53fb55a3591b5f,1,credit_card,3,72.66
1dfbde97fe9eccbac2db9ab2f3d45a9b,1,credit_card,6,348.74
3be1b5820b7f93acc617a3b680f37c91,1,credit_card,5,349.99
6a26bd1a037993f1205073dbeda67db4,1,credit_card,2,67.12
45da19cff07c4148ba32b1a6bb8d87c1,1,boleto,1,126.68
cbb39c59f8084f27c248bd5c3a1cde7b,1,boleto,1,244.35
fcf62e3aab276898567e4ab7e973417f,1,credit_card,4,60.2
33c011fdacf02b14181fcd81f4b5ece0,1,credit_card,2,162.1
c39da54f19d2aa7b89667e4817f05629,1,credit_card,4,40.63
a03080d29751000dd3e2eab48835af82,1,credit_card,3,62.22
8f9b2d4a6cd80dc716a380365561a133,1,credit_card,1,197.04
36963a629da6c57d926df8f37a9e63a9,1,boleto,1,33.0
3bfd863aeb764ee13e7a3909ca8be2a5,2,voucher,1,50.0
fb8d6e92e3a08fe6485d4fb08d23ae0e,1,credit_card,1,21.04
2c283d6fe3628e20caec652ad3703c7e,1,credit_card,1,91.28
6ea6f5d85441b7bfcccbc44e082d02e3,1,credit_card,2,189.56
1475652ad485c6469bd02393c70fdaa9,1,credit_card,2,81.73
67976860fdf683e7bdb13c4f907a982e,1,credit_card,7,163.69
d21873cfa21e689e4dbfd43a99326424,1,credit_card,1,706.84
816ccd9d21435796e8ffa9802b2a782f,5,voucher,1,27.91
cc69435b3a477ca3247cc9811da7f589,1,credit_card,1,40.96
6893c7e3a051e9d94a2bed6777355f2d,1,credit_card,2,165.96
5a359fd847978055438c2563b425d343,1,credit_card,3,191.93
5429402f55e24651d38a030602f4b50c,1,boleto,1,46.84
91e725244b1ed72249f35430530e8bcb,1,credit_card,3,113.33
e08878ad70acad81d0e90f59e56ce9a6,1,credit_card,1,84.79
7cb67275a494651008ed5b1f0353ddce,1,boleto,1,88.54
6a09c972c5374c18c043270ddf09b641,1,credit_card,1,67.14
7a7ce47ebeac8469117cd0b044c03d1b,1,credit_card,2,79.95
67124ddb9431dc57aca8f687a178167d,1,credit_card,2,102.64
93d16f5ff7e2ae4320139a6faf1a2716,1,credit_card,1,35.77
11f97a9967bb081adb9883460c71e845,3,voucher,1,33.56
8bf6956999b0861c3191773f28806f40,1,boleto,1,99.9
3ff5709e1eed2f4bf1cfdccaf65c6337,1,boleto,1,202.5
253c8653b64a17c18b729399e14c42cb,1,credit_card,3,595.3
ba3d713d46b9dadf35bf0ab911b06408,1,credit_card,1,85.6
a86ad6bfca543eb89c02ccd35b2d4099,1,boleto,1,93.82
558a2813efccba296a15fdc10cd85acf,1,credit_card,3,83.34
033e33708df28579692a3d19492c6553,1,credit_card,1,145.57
2a1ceca1522e8bf484583ef111e921c4,1,credit_card,1,58.98
bb953a084ab406da9e19dfdc06df0245,1,credit_card,1,65.34
d44fc0af1ec0ebbab612f2936147f717,1,credit_card,9,196.92
a0ce637ae9c3e3dedcf9dea3715b7331,1,credit_card,5,143.04
50aee6309ac7a0d4fd5c78ac0d4e5404,1,boleto,1,277.48
be7a773222d5a7d8b12e75ed2320037a,1,credit_card,1,53.1
b170f1243a620b65504157b83f69a2e0,1,credit_card,3,80.15
68ebdf4ab83f4db8218e13350dca6bcd,1,credit_card,8,228.24
714b93bc4ed81c32fbf579f30619f3eb,2,voucher,1,173.38
fc50f8edb8f9c1c84ad90e2af6e09ead,1,credit_card,4,56.22
1266f3e39be1dedd482da8b623328821,1,credit_card,1,31.73
cde746ccdc9bd5d1ee4772ec20c7bd13,1,credit_card,1,56.6
521eea255d54a537e8889bb61072923d,1,credit_card,2,96.71
028e8f5a96db8d372890e03d22829e9b,1,credit_card,1,20.75
8624c1e28cde5fd7175aa2e87e03d494,1,debit_card,1,81.61
e398683c47bda1cf86be8772a50b4579,1,voucher,1,58.71
b22b324b1e1fbc78c0f7006c3eacc3a4,1,credit_card,2,76.61
b8f1d12f21b83fdb91d157f357617d90,2,voucher,1,57.7
1d671f4aa75c57086215073b775c7f41,1,credit_card,1,57.8
bcdab55f44bb436dc1b014c0cd004cf8,1,credit_card,5,81.33
a1b9ae5b3934e2757434214f3acba4a4,1,credit_card,1,59.87
97bcc96998b24fe6ee7cec4ae04001df,1,credit_card,1,45.09
55c2859a526d3cbf1df65ee601139c3a,1,boleto,1,35.84
4fe3375df4882c70c200e075e3f1fed0,1,boleto,1,97.08
e3042fda9ca1eec3bfd3ec1d352cee94,1,credit_card,8,127.92
