product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
732bd381ad09e530fe0a5f457d81becb,cool_stuff,56,1272,4,18350,70,24,44
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39,346,2,400,27,5,20
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,52,968,1,900,50,5,50
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38,1176,3,15350,47,40,47
0d826eba8e0a2ae3bca9e3a947dd756d,brinquedos,50,423,4,250,20,14,12
1e5428c428e0f783acd6e3d94ba4ee2a,pcs,55,1067,1,12000,27,50,53
3e9b58f1436820c248d3f98d7229bb14,relogios_presentes,56,489,2,250,16,11,11
2734390ee304b0f4817b3c233094fc16,instrumentos_musicais,59,2367,3,16200,55,40,40
e6a1ff3552ba3305c1cf0a4dde50347f,automotivo,58,703,6,5250,47,19,23
a41e356c76fab66334f36de622ecbd3a,,,,,650,17,14,12
6f0169f259bb0ff432bfff7d829b9946,casa_construcao,58,918,6,1050,16,20,16
c5fb7fbe39f4e09e048ffbc5b28db49a,sinalizacao_e_seguranca,51,1212,1,450,16,5,16
dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,52,700,2,350,16,10,16
fc2edee55f4118969f4dc49f7a717605,automotivo,47,1548,3,500,16,12,17
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11
701ff123e9085dcc9c2f833efded6374,cool_stuff,50,268,5,10664,61,63,35
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45,1003,2,400,18,11,11
58bef3ad35aed45b92cf03510e6cf5ce,esporte_lazer,54,3830,1,1300,31,32,31
7207700449f2433076d70a5b1c004eb4,consoles_games,44,421,1,706,32,8,38
1fb2c1a0d7f863e0644077cb5d8f80df,moveis_escritorio,41,2261,1,16500,58,28,58
98190f6a2c3253d07ca86525bb238162,eletronicos,25,813,1,1836,61,6,24
a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,32,1074,2,200,39,2,30
78119fbfa709d07b86f5ccf15043c6d6,cool_stuff,43,447,2,586,18,11,13
3c883b9d3fd2d0ce448d4136349dc0a4,cama_mesa_banho,49,153,1,550,23,15,23
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
8a4667ce8c036b0d54dd65a38298bfc0,malas_acessorios,45,224,1,950,46,10,33
2029248294c186017ecfc48cecd47bbd,ferramentas_jardim,44,586,3,3250,32,14,22
e5d860a0fff2e94bd1a406456cc6c4b3,eletrodomesticos_2,38,2030,2,13200,66,19,67
eca26be90d3b3454dd69a13a05bdb46e,fashion_bolsas_e_acessorios,59,119,3,200,16,2,11
c354569eefd558bf201d0aedf35608ed,cama_mesa_banho,55,166,1,700,49,4,50
a77e6c93242ae050800cb3e5b98c2fcd,bebes,59,348,2,8300,45,25,45
c72a1a8c3bbe15206d1880cedc7bd791,informatica_acessorios,59,1238,5,4750,18,22,30
11dc4053871ff53ff79fb1fc7e6b160f,esporte_lazer,29,347,1,1600,100,7,11
0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45,561,2,553,18,9,15
334995514673fb6bae67885458b52984,utilidades_domesticas,37,261,2,250,25,25,25
24f9f99148480cd31288ed4e7d962e15,moveis_decoracao,58,1953,1,850,69,11,11
9339df4b551cc289617ed742b9af7925,telefonia,54,409,1,200,19,4,11
c5c66926b3f964b8cf9e7dfb1150d13e,esporte_lazer,41,128,1,200,21,9,13
a7b42937ab954b0e03bcf6cc35209940,esporte_lazer,56,813,2,250,16,10,16
e91f30f35875789d4b7d14610aa88c15,cama_mesa_banho,50,208,1,500,16,10,16
5b488b474a4f2519b7826390b1873a58,utilidades_domesticas,60,1206,4,4100,51,31,31
ce8a29973a1fed3f8d22ea5514d9ea07,eletronicos,56,505,2,200,20,20,20
083178fd17a5d863811733e46fc529ef,esporte_lazer,38,256,3,450,25,25,25
2043cae78c8b731c405c7329a05154b2,eletroportateis,52,640,3,750,30,30,30
955821b9200f75f399d091f381821044,eletrodomesticos,47,82,1,150,20,13,15
1c36a5285f7f3b1ed2637d7c528ce5ff,malas_acessorios,21,769,4,1600,55,37,30
6b82874c6b51b92913dcdb364eaaae0f,,,,,21450,70,34,50
28f71b48a5f99f0bcf4642ae10352557,relogios_presentes,42,431,2,500,17,22,17
afa6d9a2f3ba0d5b06ccd5eb4bd2e29a,esporte_lazer,54,675,1,750,26,23,23
12827caf723c4ff8030d64dcffe3cdab,beleza_saude,59,3939,6,150,28,13,12
75747bce1abad71ec9edfb9ca6dd509c,livros_tecnicos,42,492,1,450,29,2,17
265928225c1358e74bf8668ff65096f3,brinquedos,25,119,1,300,16,17,11
a963ea4d494221de09b70f1b4a70edbd,informatica_acessorios,58,240,1,150,35,8,11
593236d0ff46b4299b4787fb8d43f7f0,industria_comercio_e_negocios,44,1396,2,7225,16,103,25
386486367c1f9d4f587a8864ccb6902b,cama_mesa_banho,54,120,1,835,40,9,33
84db874a1a2d895b0eece26cc9bb3dd3,cool_stuff,55,418,2,1250,36,16,24
8bfd18c7b7358231b2a3f9ae98eed105,ferramentas_jardim,57,365,6,850,24,13,18
505bdfe93e66810bd2dfd42bcc61976b,informatica_acessorios,60,1503,5,588,20,17,15
f0ea71b6e2ab4cb3bd8f5ba522a25a56,,,,,1300,30,20,30
fedccbd5e370e8ddb7aae6fb4cb70347,,,,,1200,20,20,20
f50df9b142a624bf4c4d8495489a207e,brinquedos,60,804,1,600,23,25,20
aff4c4ee166f76b66595e0bcfb983d5b,consoles_games,49,472,1,700,20,15,20
21e72a490cbe93ed7aa675d2b1ae105a,informatica_acessorios,53,240,1,650,34,15,15
913dfadde395f6049127173cfbb96121,informatica_acessorios,24,718,2,200,41,2,29
e9f4a2b16f44a27e454037659cceb20f,automotivo,47,84,2,200,32,8,26
33202a8e7a645388c41ed714203d7131,alimentos,45,911,1,3350,20,21,20
99b4596b82b6f75d453160c9c75e01f4,artigos_de_festas,36,378,1,1550,23,17,18
f7740e5b4337a3cc4a8a204553101a85,beleza_saude,43,876,2,543,30,12,16
3932e37f1f658768ac53fbe680f145bc,cama_mesa_banho,60,850,1,1100,40,10,30
8792f8b694229e5627aa6a15cf912052,utilidades_domesticas,48,204,1,1150,19,22,19
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13
c2df3d01bc5d236c85400b0d432bf97b,consoles_games,15,728,1,110,17,2,14
036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
a1766f2d27b4e90a0d78d8e115295399,perfumaria,58,942,2,450,16,16,22
88cd1536cced07ce8b7eb699521f841e,cama_mesa_banho,55,514,1,900,16,10,16
e9896cd67d67e394cc2d3b0ecfd11eb2,malas_acessorios,56,488,3,17150,36,48,56
e4f7023069a24c2297617d935f783a5c,informatica_acessorios,52,294,2,1000,20,20,20
ace5d86cf1ac63cdb76f49e5cd23d2f8,moveis_decoracao,60,473,1,600,30,4,20
b61d1388a17e3f547d2bc218df02335b,,,,,350,16,6,11
cc3181a81384b6fc34602d49cb6068a6,eletrodomesticos_2,33,94,1,18450,68,21,42
5a719c85a2cad2da6076ea511aa4023f,informatica_acessorios,60,1873,1,225,17,17,17
eb6913790ee61d3d4d8dffcbbedea827,pet_shop,57,1268,2,102,20,6,13
919f371545037a68a1585ef9f0b9494a,climatizacao,52,1427,1,10050,51,49,24
0f8977d115c52d93a05dd4eb7052baff,cama_mesa_banho,59,266,1,3975,46,12,43
8bc6752b88d4909a129ee0abfd76875b,pet_shop,17,746,1,300,16,4,11
e5d51a994a31fdaf8d7ec087d31a9576,beleza_saude,44,610,1,600,26,6,18
995e25d9b46dee183004994645768d95,esporte_lazer,57,722,4,500,16,15,20
f9aa001a859b11fd798bb386f3d07eb0,pet_shop,54,802,17,9000,33,30,44
56e04ad5959e2c30a6754d9cc1f098f2,portateis_casa_forno_e_cafe,46,490,1,225,18,18,16
37c4c3f162a9549087175b1391df2f02,beleza_saude,30,530,1,975,19,12,15
089cc17c8bf2226d13648392e33dabd7,informatica_acessorios,32,999,3,225,17,5,20
c72f08f769081bfde2959e39c5bde5d4,perfumaria,43,478,1,100,20,20,20
c857b96593773e940454e76efa8eabb3,moveis_decoracao,55,133,1,700,35,4,30
057229db0353dff9e12e298e8f6429b9,cama_mesa_banho,35,564,1,1900,16,2,11
cb2a50959c992d8d56a80c45b59e0441,esporte_lazer,51,236,2,400,38,26,26
8b41e0e27cc6de15e59de3853fcf51ce,moveis_decoracao,51,1362,3,800,24,11,17
42212fc3d57c0e2242bd661e94e1e067,telefonia,45,702,4,100,19,3,11
42830ac3bef5dc8b398055683e52ad9a,malas_acessorios,52,1030,4,325,24,19,20
a8115d34a4b7b74388da609692162c37,informatica_acessorios,34,1080,2,250,41,2,29
ea44caac707f7f1325182a538007f838,bebes,59,809,5,6600,45,25,35
8ccac7e503c0ba1f7e7b3aafeae52cca,moveis_decoracao,35,596,4,5500,32,32,32
bb706a70fa03c46aa8d5f4a15505ce1a,moveis_escritorio,55,594,1,650,20,12,15
90f97298579cd20412fdcc9b7a2d4b6b,alimentos_bebidas,31,502,1,475,20,16,13
812f428f6757ab16c46cffc68f2e90c5,moveis_decoracao,53,1991,2,600,60,7,14
d8347a6f6301cb4343a6e05e095e5871,papelaria,60,815,5,1150,21,15,15
2ac7c9339ff85fff3e1aee3eaf7bb315,utilidades_domesticas,43,357,1,217,18,5,14
30b426aecc4e322e14030c1f384b1763,esporte_lazer,25,1002,1,2433,30,24,24
d0fac709247e97e9b44a5351891ef9f3,automotivo,60,968,3,800,16,16,11
31a2f42a87890f87d77daebdfabc182e,brinquedos,58,419,5,1700,30,35,25
52875639c307f1a60e501898dcf12a4a,automotivo,58,1020,3,1800,34,40,19
3133d254cf85a65d8e94f39e38ded239,beleza_saude,45,918,1,283,17,11,16
2cbd0f06c3123f0bd14c4bffc0498996,telefonia,52,728,1,75,19,5,11
40f9995eecfc68f54991ca49582e9885,telefonia,60,816,1,150,27,5,20
8934769521d632e65c27992662f05673,cool_stuff,26,1105,3,200,17,4,13
bd9fca6bf4bdcbf4094d7bc11415dfe5,eletroportateis,47,2378,6,4683,45,29,22
50f1880f1989251727fbbfe8c0a346a6,cool_stuff,54,661,2,1450,42,25,15
06b4fb6f7d3ef030f7906bb13dde0728,bebidas,39,394,1,1550,16,36,16
2bb3e85f2a403543fdb64e266e70c792,brinquedos,57,925,5,19450,45,50,45
7736ea239e147291f6adb766c992beb1,cama_mesa_banho,46,128,1,250,40,4,30
7e3c3f51d5ccc2382147194f911e22a8,fashion_calcados,42,649,3,700,16,8,18
258a6d1b2a8645981cf1f93803e5ae6a,artigos_de_festas,25,354,1,350,16,11,11
be4759b234eb97ef5af31ef0ccd0498e,esporte_lazer,60,874,1,500,16,30,16
00de7f393d962717eeeb2d7131a40dba,telefonia,47,816,2,300,16,5,12
794c86fac605d182da0e2e7965c047f6,consoles_games,23,1537,1,200,21,5,14
